baseline config: acc: 91.129524
config 0: acc: 91.087257, speedup: 1.2700876767315092
config 1: acc: 90.926773, speedup: 1.5372969212433636
config 2: acc: 90.935204, speedup: 1.460365870174051
config 3: acc: 91.163292, speedup: 1.3574252801796574
config 4: acc: 91.137978, speedup: 1.3116193756811458
config 5: acc: 91.137978, speedup: 1.3629101976228635
config 6: acc: 91.137978, speedup: 1.309729998906878
config 7: acc: 91.137978, speedup: 1.371049463005415
config 8: acc: 91.137978, speedup: 1.4076553350024932
config 9: acc: 91.137978, speedup: 1.4229106105370386
config 10: acc: 91.137978, speedup: 1.5279651314372513
config 11: acc: 91.137978, speedup: 1.465253328731515
config 12: acc: 91.137978, speedup: 1.4997983282104062
config 13: acc: 91.137978, speedup: 1.5673842674352858
config 14: acc: 91.137978, speedup: 1.4302881426972192
config 15: acc: 90.918304, speedup: 1.462264982473269
config 16: acc: 90.909866, speedup: 1.5183845427062372
config 17: acc: 90.909866, speedup: 1.4713611666753084
config 18: acc: 90.909866, speedup: 1.559394486285126
config 19: acc: 90.909866, speedup: 1.5584366784837347
config 20: acc: 90.909866, speedup: 1.6788309803897146
config 21: acc: 90.909874, speedup: 1.6045245825533951
config 22: acc: 90.884529, speedup: 1.472090296140872
config 23: acc: 90.884529, speedup: 1.4345846736750238
config 24: acc: 90.89296, speedup: 1.4945993782320222
config 25: acc: 90.884529, speedup: 1.561284250913961
config 26: acc: 90.89296, speedup: 1.52326627707077
config 27: acc: 90.926781, speedup: 1.6610391930942272
config 28: acc: 90.926781, speedup: 1.578881865714365
config 29: acc: 90.884529, speedup: 1.5155143675495477
config 30: acc: 90.926781, speedup: 1.6437859178975929
config 31: acc: 90.926781, speedup: 1.5609158731858988
config 32: acc: 90.926781, speedup: 1.578803269639874
config 33: acc: 90.884529, speedup: 1.5336347487722701
config 34: acc: 90.884529, speedup: 1.5852392838976943
config 35: acc: 91.045044, speedup: 1.6213907988771121
config 36: acc: 90.926781, speedup: 1.5944321885035988
config 37: acc: 90.926781, speedup: 1.6005022627053613
config 38: acc: 90.926781, speedup: 1.643630577131778
config 39: acc: 90.884529, speedup: 1.579976088052231
config 40: acc: 90.884529, speedup: 1.5817026251211936
config 41: acc: 90.926781, speedup: 1.6560546725024956
config 42: acc: 90.926781, speedup: 1.6643386648433653
config 43: acc: 90.926781, speedup: 1.5744442270573014
config 44: acc: 90.884529, speedup: 1.7678342497598274
config 45: acc: 90.926781, speedup: 1.8780358246906486
config 46: acc: 91.045044, speedup: 1.8391475049716368
config 47: acc: 90.926781, speedup: 1.8200384146691375
config 48: acc: 90.884529, speedup: 1.8577399226128333
config 49: acc: 90.926781, speedup: 1.5922756160370448
