baseline config: acc: 43.21196
config 0: acc: 42.721977, speedup: 1.211154032412465
config 1: acc: 44.884686, speedup: 1.481098918049404
config 2: acc: 44.884686, speedup: 1.5074973962020297
config 3: acc: 44.31868, speedup: 1.3728999642547106
config 4: acc: 44.31023, speedup: 1.3472659303654113
config 5: acc: 44.301777, speedup: 1.3677803045334067
config 6: acc: 44.31023, speedup: 1.3033972051533773
config 7: acc: 44.327126, speedup: 1.3776450061617533
config 8: acc: 44.327126, speedup: 1.3941272477193856
config 9: acc: 44.31023, speedup: 1.4139268016581843
config 10: acc: 44.31023, speedup: 1.4289415744639575
config 11: acc: 44.31023, speedup: 1.45831327523151
config 12: acc: 44.31023, speedup: 1.50182173146184
config 13: acc: 44.31023, speedup: 1.468773772891972
config 14: acc: 44.31023, speedup: 1.480303818655831
config 15: acc: 43.685055, speedup: 1.4631524812177383
config 16: acc: 43.693501, speedup: 1.4984129991946564
config 17: acc: 43.693501, speedup: 1.437123988058489
config 18: acc: 43.693501, speedup: 1.5563174110676798
config 19: acc: 43.693501, speedup: 1.5379203139278304
config 20: acc: 43.693501, speedup: 1.6622254921357207
config 21: acc: 44.3778, speedup: 1.6261768165995785
config 22: acc: 44.436935, speedup: 1.465675030699011
config 23: acc: 44.436935, speedup: 1.4851816047507251
config 24: acc: 44.420063, speedup: 1.5178978479674463
config 25: acc: 44.436935, speedup: 1.5414539335441315
config 26: acc: 44.428486, speedup: 1.4762113932738505
config 27: acc: 44.065231, speedup: 1.6160769162567943
config 28: acc: 44.065231, speedup: 1.5607217441909405
config 29: acc: 44.436935, speedup: 1.589395556159865
config 30: acc: 44.073677, speedup: 1.6048002841252482
config 31: acc: 44.065231, speedup: 1.5967039085408858
config 32: acc: 44.065231, speedup: 1.5990067726803014
config 33: acc: 44.403152, speedup: 1.611369578735232
config 34: acc: 44.445385, speedup: 1.5134716739496035
config 35: acc: 44.690384, speedup: 1.659795994277098
config 36: acc: 44.073677, speedup: 1.5979091167087904
config 37: acc: 44.073677, speedup: 1.5811605155363704
config 38: acc: 44.065231, speedup: 1.6179247199074458
config 39: acc: 44.436935, speedup: 1.5558400787019957
config 40: acc: 44.445385, speedup: 1.5292165363903825
config 41: acc: 44.065231, speedup: 1.5888648559203842
config 42: acc: 44.073677, speedup: 1.5223456767404233
config 43: acc: 44.073677, speedup: 1.6873965402267288
config 44: acc: 44.403152, speedup: 1.7740788703118688
config 45: acc: 44.073677, speedup: 1.7980725502260508
config 46: acc: 44.690384, speedup: 1.7537004936165772
config 47: acc: 44.065216, speedup: 1.728595883530102
config 48: acc: 44.436935, speedup: 1.837869246084304
config 49: acc: 44.073677, speedup: 1.8316276043662574
