baseline config: acc: 75.956764
config 0: acc: 76.007454, speedup: 1.1828499284496372
config 1: acc: 76.058136, speedup: 1.4860290102124187
config 2: acc: 76.058136, speedup: 1.5119758329672095
config 3: acc: 76.201752, speedup: 1.3324956756873032
config 4: acc: 76.201752, speedup: 1.3699986339953036
config 5: acc: 76.193314, speedup: 1.362685852560204
config 6: acc: 76.193314, speedup: 1.2925322866113356
config 7: acc: 76.184875, speedup: 1.2972245182541724
config 8: acc: 76.184875, speedup: 1.4048969343797983
config 9: acc: 76.201752, speedup: 1.3579536882175367
config 10: acc: 76.193314, speedup: 1.3758570771578484
config 11: acc: 76.193314, speedup: 1.4843867832107702
config 12: acc: 76.201752, speedup: 1.4182760942760941
config 13: acc: 76.193314, speedup: 1.4462605046056145
config 14: acc: 76.201752, speedup: 1.4858864282539523
config 15: acc: 75.948318, speedup: 1.4022573110940075
config 16: acc: 75.922989, speedup: 1.4986245732477004
config 17: acc: 75.922989, speedup: 1.4163247135596342
config 18: acc: 75.922989, speedup: 1.3631268283842908
config 19: acc: 75.922989, speedup: 1.4743861682928636
config 20: acc: 75.922989, speedup: 1.6697533115365466
config 21: acc: 75.922966, speedup: 1.5696354603734382
config 22: acc: 75.939865, speedup: 1.4324423218441773
config 23: acc: 75.939865, speedup: 1.4530635110745607
config 24: acc: 75.948311, speedup: 1.4944009808749255
config 25: acc: 75.939865, speedup: 1.46007251350096
config 26: acc: 75.939873, speedup: 1.4626723873310157
config 27: acc: 76.032814, speedup: 1.5716571298941253
config 28: acc: 76.032814, speedup: 1.553138739312741
config 29: acc: 75.939865, speedup: 1.6478086228020898
config 30: acc: 76.032814, speedup: 1.599744179475416
config 31: acc: 76.032814, speedup: 1.6301090382222003
config 32: acc: 76.032814, speedup: 1.604910425128209
config 33: acc: 75.939865, speedup: 1.5475195043564258
config 34: acc: 75.948311, speedup: 1.5418662809084838
config 35: acc: 76.12571, speedup: 1.5681442179828722
config 36: acc: 76.032814, speedup: 1.5660640273871964
config 37: acc: 76.032814, speedup: 1.672492737925262
config 38: acc: 76.032814, speedup: 1.5497855757372396
config 39: acc: 75.939865, speedup: 1.554688780263113
config 40: acc: 75.948311, speedup: 1.5460132246547025
config 41: acc: 76.032814, speedup: 1.6496439324395875
config 42: acc: 76.032814, speedup: 1.5465127208003147
config 43: acc: 76.032814, speedup: 1.5508445871316436
config 44: acc: 75.939865, speedup: 1.67168562334807
config 45: acc: 76.032814, speedup: 1.7851276374651854
config 46: acc: 76.12571, speedup: 1.7689171687784198
config 47: acc: 76.032814, speedup: 1.742010937711947
config 48: acc: 75.939865, speedup: 1.7687686124067594
config 49: acc: 76.032814, speedup: 1.7473873897792098
