baseline config: acc: 91.670189
config 0: acc: 91.602608, speedup: 1.2549472219000117
config 1: acc: 91.475906, speedup: 1.4984148704404154
config 2: acc: 91.467453, speedup: 1.5788298543009247
config 3: acc: 91.560364, speedup: 1.366331532000288
config 4: acc: 91.551903, speedup: 1.3818370850235524
config 5: acc: 91.551903, speedup: 1.3419473114291707
config 6: acc: 91.551903, speedup: 1.3530204061725015
config 7: acc: 91.551903, speedup: 1.3550828287787735
config 8: acc: 91.551903, speedup: 1.3971661247039437
config 9: acc: 91.551903, speedup: 1.3829445909480782
config 10: acc: 91.551903, speedup: 1.50759587863316
config 11: acc: 91.551903, speedup: 1.483567341196217
config 12: acc: 91.551903, speedup: 1.4545285880227157
config 13: acc: 91.551903, speedup: 1.6007344596823951
config 14: acc: 91.551903, speedup: 1.5300316926954067
config 15: acc: 91.484314, speedup: 1.43263671683612
config 16: acc: 91.509674, speedup: 1.5264008126582815
config 17: acc: 91.509674, speedup: 1.4966487982016257
config 18: acc: 91.509674, speedup: 1.5590338771292993
config 19: acc: 91.509674, speedup: 1.4807915512389547
config 20: acc: 91.509674, speedup: 1.6434679179762326
config 21: acc: 91.399834, speedup: 1.5766164876641262
config 22: acc: 91.433647, speedup: 1.4742076009805432
config 23: acc: 91.433647, speedup: 1.4113627558028954
config 24: acc: 91.433647, speedup: 1.5710165888339027
config 25: acc: 91.433647, speedup: 1.459481116549123
config 26: acc: 91.442108, speedup: 1.4707985535223906
config 27: acc: 91.450546, speedup: 1.6115501202827203
config 28: acc: 91.450546, speedup: 1.5661429735711838
config 29: acc: 91.433647, speedup: 1.710589976378177
config 30: acc: 91.450546, speedup: 1.6072717872837319
config 31: acc: 91.450546, speedup: 1.637413712993639
config 32: acc: 91.450546, speedup: 1.65750503277046
config 33: acc: 91.425186, speedup: 1.6036291356568064
config 34: acc: 91.433647, speedup: 1.6648995187920406
config 35: acc: 91.602608, speedup: 1.6477707142182652
config 36: acc: 91.450546, speedup: 1.5510878790659266
config 37: acc: 91.450546, speedup: 1.6121528750499194
config 38: acc: 91.450546, speedup: 1.6311653615011867
config 39: acc: 91.433647, speedup: 1.5595710022920242
config 40: acc: 91.433647, speedup: 1.6400025466584205
config 41: acc: 91.450546, speedup: 1.5604730358325078
config 42: acc: 91.450546, speedup: 1.699134641056649
config 43: acc: 91.450546, speedup: 1.630595001612675
config 44: acc: 91.425186, speedup: 1.815346100216622
config 45: acc: 91.450546, speedup: 1.8114373257653769
config 46: acc: 91.602608, speedup: 1.7566628455635696
config 47: acc: 91.450546, speedup: 1.7799835145580276
config 48: acc: 91.433647, speedup: 1.745414594246645
config 49: acc: 91.450546, speedup: 1.9227549731017974
