baseline config: acc: 71.445465
config 0: acc: 71.318741, speedup: 1.1839935458955357
config 1: acc: 71.268044, speedup: 1.4700115816162473
config 2: acc: 71.25116, speedup: 1.5112748080883731
config 3: acc: 71.496162, speedup: 1.2431925108594943
config 4: acc: 71.496162, speedup: 1.3226989623806995
config 5: acc: 71.521492, speedup: 1.2931107851432062
config 6: acc: 71.521492, speedup: 1.2651658756165538
config 7: acc: 71.521515, speedup: 1.213376050508989
config 8: acc: 71.521515, speedup: 1.3346544066925197
config 9: acc: 71.496162, speedup: 1.3414820989433611
config 10: acc: 71.521492, speedup: 1.3793849255355368
config 11: acc: 71.521492, speedup: 1.4479251190160871
config 12: acc: 71.496162, speedup: 1.3824672674601424
config 13: acc: 71.521492, speedup: 1.4488205318053955
config 14: acc: 71.496162, speedup: 1.411060624063611
config 15: acc: 71.453896, speedup: 1.3842695063587596
config 16: acc: 71.437027, speedup: 1.4296329403104242
config 17: acc: 71.437027, speedup: 1.426061319615348
config 18: acc: 71.445496, speedup: 1.4582310067803692
config 19: acc: 71.437027, speedup: 1.4200322990756966
config 20: acc: 71.445496, speedup: 1.5549401760854842
config 21: acc: 71.217346, speedup: 1.5898281038178463
config 22: acc: 71.242699, speedup: 1.4598525706873677
config 23: acc: 71.242699, speedup: 1.3828373341185447
config 24: acc: 71.234245, speedup: 1.443613855160754
config 25: acc: 71.242699, speedup: 1.4015111436671686
config 26: acc: 71.234245, speedup: 1.5079661620554976
config 27: acc: 71.377861, speedup: 1.5782969278219174
config 28: acc: 71.377861, speedup: 1.4362169435733192
config 29: acc: 71.242699, speedup: 1.4635355578597857
config 30: acc: 71.386314, speedup: 1.4933109014384165
config 31: acc: 71.377861, speedup: 1.5378432566232585
config 32: acc: 71.377861, speedup: 1.5848555317621504
config 33: acc: 71.242699, speedup: 1.5076316941485484
config 34: acc: 71.234245, speedup: 1.5278326153918955
config 35: acc: 71.572189, speedup: 1.608968788640448
config 36: acc: 71.386314, speedup: 1.487293985210265
config 37: acc: 71.386314, speedup: 1.57639451516386
config 38: acc: 71.377861, speedup: 1.5568145860016576
config 39: acc: 71.242699, speedup: 1.515704540453312
config 40: acc: 71.234245, speedup: 1.4738595983184095
config 41: acc: 71.377861, speedup: 1.5008447136035934
config 42: acc: 71.386314, speedup: 1.5334995695668954
config 43: acc: 71.386314, speedup: 1.5261400111375518
config 44: acc: 71.242699, speedup: 1.6160911485543745
config 45: acc: 71.386314, speedup: 1.6888179843308917
config 46: acc: 71.580635, speedup: 1.6960092451693498
config 47: acc: 71.377861, speedup: 1.7296723570171784
config 48: acc: 71.242699, speedup: 1.6820652749038234
config 49: acc: 71.386314, speedup: 1.731231641333872
