baseline config: acc: 89.78627
config 0: acc: 89.845398, speedup: 1.2510623233612674
config 1: acc: 89.668015, speedup: 1.5560243712903983
config 2: acc: 89.668015, speedup: 1.5035219204327734
config 3: acc: 89.642647, speedup: 1.3376079570164698
config 4: acc: 89.608864, speedup: 1.329503170970824
config 5: acc: 89.608864, speedup: 1.3105377421509685
config 6: acc: 89.608864, speedup: 1.3335015943144446
config 7: acc: 89.608849, speedup: 1.3764738353122044
config 8: acc: 89.608849, speedup: 1.369539218051442
config 9: acc: 89.608864, speedup: 1.374913364200155
config 10: acc: 89.608864, speedup: 1.4347360836272909
config 11: acc: 89.608864, speedup: 1.4901453759501377
config 12: acc: 89.608864, speedup: 1.448746942354733
config 13: acc: 89.608864, speedup: 1.490301436736267
config 14: acc: 89.608864, speedup: 1.5232840111271126
config 15: acc: 89.701782, speedup: 1.3312975804228429
config 16: acc: 89.693329, speedup: 1.5662845100352807
config 17: acc: 89.693329, speedup: 1.3405902687059108
config 18: acc: 89.693329, speedup: 1.6152031224697658
config 19: acc: 89.693329, speedup: 1.4990259407361837
config 20: acc: 89.693329, speedup: 1.6246101200579055
config 21: acc: 89.6511, speedup: 1.5729767412383548
config 22: acc: 89.617302, speedup: 1.420666392453001
config 23: acc: 89.617302, speedup: 1.472895390560309
config 24: acc: 89.625763, speedup: 1.4517522202861173
config 25: acc: 89.617302, speedup: 1.5230840146534366
config 26: acc: 89.617302, speedup: 1.4736153185519838
config 27: acc: 89.62574, speedup: 1.6446381983964447
config 28: acc: 89.62574, speedup: 1.5583645684732186
config 29: acc: 89.617302, speedup: 1.5397777604649083
config 30: acc: 89.62574, speedup: 1.57091151019519
config 31: acc: 89.62574, speedup: 1.5248815182805469
config 32: acc: 89.62574, speedup: 1.6538743454686051
config 33: acc: 89.617302, speedup: 1.5303807669254441
config 34: acc: 89.608841, speedup: 1.5348529517509168
config 35: acc: 89.499031, speedup: 1.6055879503427026
config 36: acc: 89.62574, speedup: 1.6378689870552396
config 37: acc: 89.62574, speedup: 1.6031375989136771
config 38: acc: 89.62574, speedup: 1.5929301281496362
config 39: acc: 89.617302, speedup: 1.5690800403421437
config 40: acc: 89.608841, speedup: 1.5412765072524883
config 41: acc: 89.62574, speedup: 1.5656503421000127
config 42: acc: 89.62574, speedup: 1.5705300829661808
config 43: acc: 89.62574, speedup: 1.5919963125996621
config 44: acc: 89.617302, speedup: 1.7531790188860252
config 45: acc: 89.62574, speedup: 1.7630519965375289
config 46: acc: 89.499031, speedup: 1.7750479412297904
config 47: acc: 89.634193, speedup: 1.6817175497340948
config 48: acc: 89.617302, speedup: 1.7456545100354772
config 49: acc: 89.62574, speedup: 1.782090265010912
