baseline config: acc: 85.88324
config 0: acc: 85.925476, speedup: 1.269193679130135
config 1: acc: 85.680519, speedup: 1.5485122346321085
config 2: acc: 85.672043, speedup: 1.5591288622329558
config 3: acc: 85.764992, speedup: 1.3771015093462196
config 4: acc: 85.80722, speedup: 1.3643004603379485
config 5: acc: 85.80722, speedup: 1.369261446950307
config 6: acc: 85.80722, speedup: 1.393235758886792
config 7: acc: 85.80722, speedup: 1.403085694126675
config 8: acc: 85.80722, speedup: 1.353605640240873
config 9: acc: 85.80722, speedup: 1.3470550206616423
config 10: acc: 85.80722, speedup: 1.5355555618181767
config 11: acc: 85.80722, speedup: 1.4787921060523612
config 12: acc: 85.80722, speedup: 1.4611453985484415
config 13: acc: 85.80722, speedup: 1.547753467266026
config 14: acc: 85.80722, speedup: 1.6219631447108152
config 15: acc: 85.78186, speedup: 1.4642119590410303
config 16: acc: 85.78186, speedup: 1.5383909538800344
config 17: acc: 85.78186, speedup: 1.4599982583182054
config 18: acc: 85.790321, speedup: 1.6078392028009376
config 19: acc: 85.78186, speedup: 1.5172420514476974
config 20: acc: 85.790321, speedup: 1.6553801564009551
config 21: acc: 85.705833, speedup: 1.6901008709893546
config 22: acc: 85.705864, speedup: 1.5269362911316493
config 23: acc: 85.705864, speedup: 1.44511161738457
config 24: acc: 85.688965, speedup: 1.4711143210059872
config 25: acc: 85.705864, speedup: 1.5016949619667073
config 26: acc: 85.697388, speedup: 1.5916240919088973
config 27: acc: 85.688934, speedup: 1.6335876718283888
config 28: acc: 85.688934, speedup: 1.5980449520256566
config 29: acc: 85.705864, speedup: 1.610688557349233
config 30: acc: 85.688934, speedup: 1.5418103308012603
config 31: acc: 85.688934, speedup: 1.526012580589148
config 32: acc: 85.688934, speedup: 1.5791921955517427
config 33: acc: 85.697411, speedup: 1.611260117042763
config 34: acc: 85.705864, speedup: 1.6855913838786467
config 35: acc: 85.663605, speedup: 1.5869883700948626
config 36: acc: 85.688934, speedup: 1.628020933084941
config 37: acc: 85.688934, speedup: 1.6653269679817109
config 38: acc: 85.688934, speedup: 1.6783795147600367
config 39: acc: 85.705864, speedup: 1.520207353632525
config 40: acc: 85.705864, speedup: 1.6415086665933594
config 41: acc: 85.688934, speedup: 1.5928245064765363
config 42: acc: 85.688934, speedup: 1.6039982572755802
config 43: acc: 85.688934, speedup: 1.6643401286570427
config 44: acc: 85.697411, speedup: 1.8578503661145822
config 45: acc: 85.688934, speedup: 1.8599241181681179
config 46: acc: 85.663605, speedup: 1.8078615225354355
config 47: acc: 85.688934, speedup: 1.774221646236729
config 48: acc: 85.705864, speedup: 1.7970811345646438
config 49: acc: 85.688934, speedup: 1.781953338086299
