baseline config: acc: 78.37291
config 0: acc: 78.229271, speedup: 1.2979398020842658
config 1: acc: 78.220848, speedup: 1.5205020077039166
config 2: acc: 78.195518, speedup: 1.6095363054386067
config 3: acc: 78.372902, speedup: 1.3717640090589927
config 4: acc: 78.356003, speedup: 1.3775686495184785
config 5: acc: 78.356003, speedup: 1.381166662748674
config 6: acc: 78.356003, speedup: 1.3750505030597462
config 7: acc: 78.38134, speedup: 1.396490727674863
config 8: acc: 78.38134, speedup: 1.4026197581278466
config 9: acc: 78.356003, speedup: 1.4178894048550497
config 10: acc: 78.356003, speedup: 1.4892095640469103
config 11: acc: 78.356003, speedup: 1.4824459940585828
config 12: acc: 78.356003, speedup: 1.5145648192117225
config 13: acc: 78.356003, speedup: 1.6659851356594932
config 14: acc: 78.356003, speedup: 1.6045599394001244
config 15: acc: 78.279953, speedup: 1.5103251303240748
config 16: acc: 78.288406, speedup: 1.5484820489772593
config 17: acc: 78.288406, speedup: 1.554654032343422
config 18: acc: 78.296867, speedup: 1.5812921065007621
config 19: acc: 78.288406, speedup: 1.5954807266282676
config 20: acc: 78.296867, speedup: 1.7673060025805634
config 21: acc: 78.170143, speedup: 1.789686827650999
config 22: acc: 78.187057, speedup: 1.4399485064682942
config 23: acc: 78.187057, speedup: 1.5444415544167616
config 24: acc: 78.19548, speedup: 1.5823747457350823
config 25: acc: 78.187057, speedup: 1.601390355306647
config 26: acc: 78.170143, speedup: 1.5333970697721695
config 27: acc: 78.347565, speedup: 1.7097403631729848
config 28: acc: 78.347565, speedup: 1.6878215760420086
config 29: acc: 78.187057, speedup: 1.5802288430586207
config 30: acc: 78.339111, speedup: 1.6822208793643092
config 31: acc: 78.347565, speedup: 1.6246476177724347
config 32: acc: 78.347565, speedup: 1.6592644781159793
config 33: acc: 78.187057, speedup: 1.6100121871191524
config 34: acc: 78.19548, speedup: 1.659377935807637
config 35: acc: 78.372932, speedup: 1.6930025312155446
config 36: acc: 78.339111, speedup: 1.623003612942622
config 37: acc: 78.339111, speedup: 1.7510745098039215
config 38: acc: 78.347565, speedup: 1.6795557334280204
config 39: acc: 78.187057, speedup: 1.6874363230150162
config 40: acc: 78.19548, speedup: 1.6572642543045728
config 41: acc: 78.347565, speedup: 1.729817427874558
config 42: acc: 78.339111, speedup: 1.7550333143624361
config 43: acc: 78.339111, speedup: 1.6709376506195421
config 44: acc: 78.187057, speedup: 1.9682695851031378
config 45: acc: 78.339111, speedup: 1.7991100424027242
config 46: acc: 78.372932, speedup: 1.8571892026785342
config 47: acc: 78.372902, speedup: 1.7788950329067932
config 48: acc: 78.187057, speedup: 1.80546210876344
config 49: acc: 78.339111, speedup: 1.914184005569483
