baseline config: acc: 85.71431
config 0: acc: 85.519966, speedup: 1.2562325013928362
config 1: acc: 85.384804, speedup: 1.5390929434839333
config 2: acc: 85.376358, speedup: 1.503096819923156
config 3: acc: 85.393242, speedup: 1.343245315268893
config 4: acc: 85.359436, speedup: 1.3132847231949984
config 5: acc: 85.376366, speedup: 1.3920665828736658
config 6: acc: 85.367905, speedup: 1.2851505101979466
config 7: acc: 85.376335, speedup: 1.304902020633661
config 8: acc: 85.376335, speedup: 1.3867166973519807
config 9: acc: 85.359436, speedup: 1.3660520510336331
config 10: acc: 85.367905, speedup: 1.3964846812380445
config 11: acc: 85.367905, speedup: 1.438576041499819
config 12: acc: 85.359436, speedup: 1.3987051788918248
config 13: acc: 85.367905, speedup: 1.5131475558840144
config 14: acc: 85.359436, speedup: 1.4766662199373013
config 15: acc: 85.37635, speedup: 1.442048481152365
config 16: acc: 85.367882, speedup: 1.5090476782144107
config 17: acc: 85.367882, speedup: 1.5449218128886588
config 18: acc: 85.367882, speedup: 1.55769541879151
config 19: acc: 85.367882, speedup: 1.5602536627523342
config 20: acc: 85.367882, speedup: 1.650701963025314
config 21: acc: 85.283417, speedup: 1.5676869730519423
config 22: acc: 85.3088, speedup: 1.497765501700573
config 23: acc: 85.3088, speedup: 1.528951629977626
config 24: acc: 85.3088, speedup: 1.4640721638892884
config 25: acc: 85.3088, speedup: 1.4417294602316415
config 26: acc: 85.3088, speedup: 1.561507420513285
config 27: acc: 85.308777, speedup: 1.6723649353839798
config 28: acc: 85.308777, speedup: 1.5283416296419168
config 29: acc: 85.3088, speedup: 1.591062018042695
config 30: acc: 85.308777, speedup: 1.5208646094956206
config 31: acc: 85.308777, speedup: 1.5297854281203525
config 32: acc: 85.308777, speedup: 1.559161118275554
config 33: acc: 85.3088, speedup: 1.5295292831342198
config 34: acc: 85.3088, speedup: 1.661038074975017
config 35: acc: 85.460823, speedup: 1.5846666399782934
config 36: acc: 85.308777, speedup: 1.5542771051047206
config 37: acc: 85.308777, speedup: 1.628684151576522
config 38: acc: 85.308777, speedup: 1.5382666829784326
config 39: acc: 85.3088, speedup: 1.5733757697363868
config 40: acc: 85.3088, speedup: 1.5586654260888841
config 41: acc: 85.308777, speedup: 1.636394536471244
config 42: acc: 85.308777, speedup: 1.602746073663516
config 43: acc: 85.308777, speedup: 1.6449627460064118
config 44: acc: 85.3088, speedup: 1.8470455876939667
config 45: acc: 85.308777, speedup: 1.795595936312945
config 46: acc: 85.452385, speedup: 1.7317460857560896
config 47: acc: 85.308777, speedup: 1.7719470727012583
config 48: acc: 85.3088, speedup: 1.7346804625684722
config 49: acc: 85.308777, speedup: 1.7453772276920512
