baseline config: acc: 92.03344
config 0: acc: 92.008102, speedup: 1.2190945043176817
config 1: acc: 91.906731, speedup: 1.457613835334245
config 2: acc: 91.915184, speedup: 1.5018773288901084
config 3: acc: 91.965881, speedup: 1.2985284139517963
config 4: acc: 91.957443, speedup: 1.342794496170835
config 5: acc: 91.957443, speedup: 1.276856767131765
config 6: acc: 91.957443, speedup: 1.255720463390223
config 7: acc: 91.948982, speedup: 1.2858742620656078
config 8: acc: 91.948982, speedup: 1.3739684604129412
config 9: acc: 91.957443, speedup: 1.3421871446522022
config 10: acc: 91.957443, speedup: 1.422176809206098
config 11: acc: 91.957443, speedup: 1.5003309104439881
config 12: acc: 91.957443, speedup: 1.4074301054496767
config 13: acc: 91.957443, speedup: 1.4716387637459847
config 14: acc: 91.957443, speedup: 1.3879987334171593
config 15: acc: 91.889839, speedup: 1.4402396195752944
config 16: acc: 91.881378, speedup: 1.4413066049255547
config 17: acc: 91.881378, speedup: 1.4538645953466867
config 18: acc: 91.881378, speedup: 1.6033785373331413
config 19: acc: 91.881378, speedup: 1.449424296972757
config 20: acc: 91.881378, speedup: 1.6093163973834386
config 21: acc: 91.813797, speedup: 1.6349173186000265
config 22: acc: 91.830696, speedup: 1.408959961588733
config 23: acc: 91.830696, speedup: 1.3792171541447278
config 24: acc: 91.822243, speedup: 1.4328108406494517
config 25: acc: 91.830696, speedup: 1.4471052689256128
config 26: acc: 91.822243, speedup: 1.456833912301194
config 27: acc: 91.813797, speedup: 1.5744495663747018
config 28: acc: 91.813797, speedup: 1.4953846502285382
config 29: acc: 91.830696, speedup: 1.60519358171762
config 30: acc: 91.813797, speedup: 1.6156417848359903
config 31: acc: 91.813797, speedup: 1.591050800487974
config 32: acc: 91.813797, speedup: 1.5457177848042924
config 33: acc: 91.830696, speedup: 1.4699923467612888
config 34: acc: 91.830696, speedup: 1.5817859757823134
config 35: acc: 91.856033, speedup: 1.5424790984671723
config 36: acc: 91.813797, speedup: 1.5978588531039524
config 37: acc: 91.813797, speedup: 1.5816391459469008
config 38: acc: 91.813797, speedup: 1.6269582144903252
config 39: acc: 91.830696, speedup: 1.6018420098954205
config 40: acc: 91.830696, speedup: 1.663297277722671
config 41: acc: 91.813797, speedup: 1.578856908853412
config 42: acc: 91.813797, speedup: 1.5169085455247746
config 43: acc: 91.813797, speedup: 1.548842923831195
config 44: acc: 91.830696, speedup: 1.736094448954639
config 45: acc: 91.813797, speedup: 1.6979170015108171
config 46: acc: 91.864471, speedup: 1.775219421698004
config 47: acc: 91.813797, speedup: 1.77730707887777
config 48: acc: 91.830696, speedup: 1.8247314056724357
config 49: acc: 91.813797, speedup: 1.7878194529297182
