baseline config: acc: 59.05212
config 0: acc: 58.638157, speedup: 1.1271504105704016
config 1: acc: 60.040554, speedup: 1.441521232416444
config 2: acc: 60.040554, speedup: 1.5532530485495724
config 3: acc: 59.592808, speedup: 1.3000261176715209
config 4: acc: 59.592812, speedup: 1.2597579703913018
config 5: acc: 59.601254, speedup: 1.2851289854000787
config 6: acc: 59.601254, speedup: 1.2992930663737057
config 7: acc: 59.609711, speedup: 1.2162583727630623
config 8: acc: 59.609711, speedup: 1.3068341853283527
config 9: acc: 59.592812, speedup: 1.3006642980093894
config 10: acc: 59.601254, speedup: 1.3361793178758843
config 11: acc: 59.601254, speedup: 1.4104593917601926
config 12: acc: 59.592812, speedup: 1.3593417126130654
config 13: acc: 59.601254, speedup: 1.4245167815351019
config 14: acc: 59.592812, speedup: 1.4307761002427932
config 15: acc: 59.043694, speedup: 1.3434392400917132
config 16: acc: 59.018353, speedup: 1.367844489029284
config 17: acc: 59.018353, speedup: 1.4195784929801902
config 18: acc: 59.035244, speedup: 1.4316390869946445
config 19: acc: 59.018353, speedup: 1.388121004708386
config 20: acc: 59.035244, speedup: 1.5709531922195397
config 21: acc: 59.677296, speedup: 1.5937046351069486
config 22: acc: 59.660397, speedup: 1.46005835221213
config 23: acc: 59.660397, speedup: 1.3931055283755347
config 24: acc: 59.651947, speedup: 1.4672495331582827
config 25: acc: 59.660397, speedup: 1.4312074635282035
config 26: acc: 59.651947, speedup: 1.3951241812635549
config 27: acc: 59.41539, speedup: 1.5812125950496319
config 28: acc: 59.41539, speedup: 1.5181098911511448
config 29: acc: 59.660397, speedup: 1.502099963230501
config 30: acc: 59.41539, speedup: 1.4912253911743447
config 31: acc: 59.41539, speedup: 1.498648792829029
config 32: acc: 59.41539, speedup: 1.518730485991386
config 33: acc: 59.651947, speedup: 1.4849818971759596
config 34: acc: 59.677296, speedup: 1.5126856225676917
config 35: acc: 59.727978, speedup: 1.5158969749474438
config 36: acc: 59.41539, speedup: 1.580352326495384
config 37: acc: 59.41539, speedup: 1.5238630250177596
config 38: acc: 59.41539, speedup: 1.4975325428318145
config 39: acc: 59.660397, speedup: 1.520419450598008
config 40: acc: 59.677296, speedup: 1.6294314041129088
config 41: acc: 59.41539, speedup: 1.5494577396576137
config 42: acc: 59.41539, speedup: 1.4647260406057292
config 43: acc: 59.41539, speedup: 1.5493430198121534
config 44: acc: 59.651947, speedup: 1.7162866291399486
config 45: acc: 59.41539, speedup: 1.6256932399394992
config 46: acc: 59.719528, speedup: 1.6140726457046164
config 47: acc: 59.398487, speedup: 1.635265261338156
config 48: acc: 59.660397, speedup: 1.7173243116500303
config 49: acc: 59.41539, speedup: 1.7426817495819114
