baseline config: acc: 91.881378
config 0: acc: 91.948982, speedup: 1.2428531013676876
config 1: acc: 91.805374, speedup: 1.5549900877896141
config 2: acc: 91.805374, speedup: 1.538823813371363
config 3: acc: 91.915184, speedup: 1.3655467123598968
config 4: acc: 91.881401, speedup: 1.2994124197172456
config 5: acc: 91.881401, speedup: 1.2896215302831275
config 6: acc: 91.881401, speedup: 1.3446417778006403
config 7: acc: 91.898293, speedup: 1.331013096523209
config 8: acc: 91.898293, speedup: 1.3501023313469644
config 9: acc: 91.881401, speedup: 1.3384554727183353
config 10: acc: 91.881401, speedup: 1.3813193331598284
config 11: acc: 91.881401, speedup: 1.4958140439825809
config 12: acc: 91.881401, speedup: 1.4065253478042126
config 13: acc: 91.881401, speedup: 1.4514787847658446
config 14: acc: 91.881401, speedup: 1.3825375920960072
config 15: acc: 91.830711, speedup: 1.446749041800999
config 16: acc: 91.847618, speedup: 1.3657250785672672
config 17: acc: 91.847618, speedup: 1.474700005077488
config 18: acc: 91.847618, speedup: 1.4944542907781144
config 19: acc: 91.847618, speedup: 1.458480088492489
config 20: acc: 91.847618, speedup: 1.5709070148289486
config 21: acc: 91.805359, speedup: 1.5814182822468184
config 22: acc: 91.788445, speedup: 1.4557043092790394
config 23: acc: 91.788445, speedup: 1.4512994764339768
config 24: acc: 91.796906, speedup: 1.5049881754835959
config 25: acc: 91.788445, speedup: 1.420897209927445
config 26: acc: 91.796906, speedup: 1.4373320319749257
config 27: acc: 91.771553, speedup: 1.553165288409119
config 28: acc: 91.771553, speedup: 1.4903579578740611
config 29: acc: 91.788445, speedup: 1.5467136882933605
config 30: acc: 91.771553, speedup: 1.5411736786791874
config 31: acc: 91.771553, speedup: 1.5139707596496486
config 32: acc: 91.771553, speedup: 1.5316060931432363
config 33: acc: 91.788445, speedup: 1.5613688222012496
config 34: acc: 91.788445, speedup: 1.563516843717102
config 35: acc: 91.881378, speedup: 1.5267396272149172
config 36: acc: 91.771553, speedup: 1.5076921745876335
config 37: acc: 91.771553, speedup: 1.6256767304241826
config 38: acc: 91.771553, speedup: 1.6241615742366016
config 39: acc: 91.788445, speedup: 1.5851752352565722
config 40: acc: 91.788445, speedup: 1.6436189862374144
config 41: acc: 91.771553, speedup: 1.629985065459432
config 42: acc: 91.771553, speedup: 1.5435899782836238
config 43: acc: 91.771553, speedup: 1.5028466380062466
config 44: acc: 91.788445, speedup: 1.8069111873029917
config 45: acc: 91.771553, speedup: 1.7795046700977588
config 46: acc: 91.881378, speedup: 1.7297781983558853
config 47: acc: 91.763123, speedup: 1.7556426453352676
config 48: acc: 91.788445, speedup: 1.6593926659027642
config 49: acc: 91.771553, speedup: 1.6717938550487348
