baseline config: acc: 91.129524
config 0: acc: 91.154846, speedup: 1.6053033982765756
config 1: acc: 91.036591, speedup: 1.8640227496810922
config 2: acc: 91.028145, speedup: 1.8527064399234838
config 3: acc: 91.154877, speedup: 1.6233296868822358
config 4: acc: 91.129494, speedup: 1.6759803817224967
config 5: acc: 91.137978, speedup: 1.7017914129149556
config 6: acc: 91.146408, speedup: 1.6680852866879439
config 7: acc: 91.129532, speedup: 1.659718674516534
config 8: acc: 91.129532, speedup: 1.68878621526722
config 9: acc: 91.129494, speedup: 1.718631832906835
config 10: acc: 91.146408, speedup: 1.8701613342666603
config 11: acc: 91.146408, speedup: 1.8190750714509956
config 12: acc: 91.129494, speedup: 1.8577825029702089
config 13: acc: 91.146408, speedup: 1.851804198590509
config 14: acc: 91.129494, speedup: 1.8540229295975201
config 15: acc: 91.036591, speedup: 1.7932349260873874
config 16: acc: 91.045059, speedup: 1.8639941956893802
config 17: acc: 91.045059, speedup: 1.8082768068110127
config 18: acc: 91.045059, speedup: 1.7928434136769422
config 19: acc: 91.045059, speedup: 1.870950788141741
config 20: acc: 91.045059, speedup: 2.1076972497000273
config 21: acc: 91.070389, speedup: 2.012397539135089
config 22: acc: 91.045036, speedup: 1.7186539002302221
config 23: acc: 91.045036, speedup: 1.9511722251943504
config 24: acc: 91.053497, speedup: 1.8698112601330164
config 25: acc: 91.045036, speedup: 1.8041187784650345
config 26: acc: 91.053497, speedup: 1.906782739507075
config 27: acc: 91.02816, speedup: 2.0674938639835525
config 28: acc: 91.02816, speedup: 1.9731732988970359
config 29: acc: 91.045036, speedup: 1.9274306540543422
config 30: acc: 91.02816, speedup: 2.0076164363837075
config 31: acc: 91.02816, speedup: 1.9426596749824747
config 32: acc: 91.02816, speedup: 1.7588946050893894
config 33: acc: 91.045036, speedup: 1.9519518643662437
config 34: acc: 91.045036, speedup: 1.9771459295618405
config 35: acc: 91.036591, speedup: 1.896083769870838
config 36: acc: 91.02816, speedup: 1.9054608091563932
config 37: acc: 91.02816, speedup: 1.9579049914867972
config 38: acc: 91.02816, speedup: 2.0594425929857927
config 39: acc: 91.045036, speedup: 1.9718652217724115
config 40: acc: 91.045036, speedup: 2.0570783097812306
config 41: acc: 91.02816, speedup: 1.9868661484178667
config 42: acc: 91.02816, speedup: 1.969787497056746
config 43: acc: 91.02816, speedup: 1.9475950254851488
config 44: acc: 91.045036, speedup: 2.1316433198922162
config 45: acc: 91.02816, speedup: 2.1788978131419845
config 46: acc: 91.02813, speedup: 2.2460972568787785
config 47: acc: 91.036591, speedup: 2.1489637368088967
config 48: acc: 91.045036, speedup: 2.188463116864856
config 49: acc: 91.02816, speedup: 2.2673159989836535
