baseline config: acc: 91.856041
config 0: acc: 91.839134, speedup: 1.4107780385511777
config 1: acc: 91.796906, speedup: 1.6452402548612513
config 2: acc: 91.788452, speedup: 1.6536039020651887
config 3: acc: 91.7547, speedup: 1.5499211354106495
config 4: acc: 91.771576, speedup: 1.6056946806547983
config 5: acc: 91.76313, speedup: 1.5881712515717485
config 6: acc: 91.76313, speedup: 1.5816616373254495
config 7: acc: 91.771576, speedup: 1.5675190546242654
config 8: acc: 91.771576, speedup: 1.6092498733681586
config 9: acc: 91.771576, speedup: 1.4733366620718693
config 10: acc: 91.76313, speedup: 1.6321368857483696
config 11: acc: 91.76313, speedup: 1.6978713289235334
config 12: acc: 91.771576, speedup: 1.70182734761012
config 13: acc: 91.76313, speedup: 1.7894616808026498
config 14: acc: 91.771576, speedup: 1.7733849288563945
config 15: acc: 91.780037, speedup: 1.7228553510801636
config 16: acc: 91.780037, speedup: 1.7991540218703588
config 17: acc: 91.780037, speedup: 1.614062482954873
config 18: acc: 91.780037, speedup: 1.6865576610861153
config 19: acc: 91.780037, speedup: 1.6993004009896768
config 20: acc: 91.780037, speedup: 1.996514759262008
config 21: acc: 91.729309, speedup: 1.9358016107538096
config 22: acc: 91.703987, speedup: 1.7524703891708968
config 23: acc: 91.703987, speedup: 1.7873679160461187
config 24: acc: 91.712448, speedup: 1.7839782831118813
config 25: acc: 91.703987, speedup: 1.6219945156223328
config 26: acc: 91.703987, speedup: 1.6968226454908568
config 27: acc: 91.771553, speedup: 1.8181259632972766
config 28: acc: 91.771553, speedup: 1.8493401399535394
config 29: acc: 91.703987, speedup: 1.8141388309891229
config 30: acc: 91.771553, speedup: 1.8848637276883207
config 31: acc: 91.771553, speedup: 1.8648538668740908
config 32: acc: 91.771553, speedup: 1.8800429118328834
config 33: acc: 91.703964, speedup: 1.9152221429126184
config 34: acc: 91.703987, speedup: 1.7564111695614866
config 35: acc: 91.661743, speedup: 1.8869619240740643
config 36: acc: 91.771553, speedup: 1.8508372201075787
config 37: acc: 91.771553, speedup: 1.9096849612608926
config 38: acc: 91.771553, speedup: 1.8382784919765784
config 39: acc: 91.703987, speedup: 1.8433431518247265
config 40: acc: 91.703987, speedup: 1.8881625003646123
config 41: acc: 91.771553, speedup: 1.86470949377686
config 42: acc: 91.771553, speedup: 1.894982014585933
config 43: acc: 91.771553, speedup: 1.8703397711984542
config 44: acc: 91.703964, speedup: 2.0134879254101006
config 45: acc: 91.771553, speedup: 1.9920143249777373
config 46: acc: 91.661743, speedup: 2.01907743653526
config 47: acc: 91.771553, speedup: 1.9966494706240698
config 48: acc: 91.703987, speedup: 1.9795945282142537
config 49: acc: 91.771553, speedup: 1.994438656727627
