baseline config: acc: 90.233994
config 0: acc: 90.267792, speedup: 1.2663000109901137
config 1: acc: 90.1073, speedup: 1.4473215321914488
config 2: acc: 90.1073, speedup: 1.4477900182742447
config 3: acc: 90.301567, speedup: 1.342575646850069
config 4: acc: 90.293137, speedup: 1.356044082562059
config 5: acc: 90.293137, speedup: 1.3402721408395857
config 6: acc: 90.293137, speedup: 1.34364265524191
config 7: acc: 90.276237, speedup: 1.3317537152642112
config 8: acc: 90.276237, speedup: 1.2790767827364935
config 9: acc: 90.293137, speedup: 1.303205025755769
config 10: acc: 90.293137, speedup: 1.4403128350129555
config 11: acc: 90.293137, speedup: 1.4486566266706753
config 12: acc: 90.293137, speedup: 1.4037383053810144
config 13: acc: 90.293137, speedup: 1.51296605803005
config 14: acc: 90.293137, speedup: 1.472733916199045
config 15: acc: 90.098839, speedup: 1.3990492103589085
config 16: acc: 90.081955, speedup: 1.4552553327604052
config 17: acc: 90.081955, speedup: 1.5238122619133185
config 18: acc: 90.081955, speedup: 1.4906856754730988
config 19: acc: 90.081955, speedup: 1.5193131816944
config 20: acc: 90.081955, speedup: 1.6722801626152213
config 21: acc: 90.014374, speedup: 1.6479927117940523
config 22: acc: 90.014374, speedup: 1.4598588397314511
config 23: acc: 90.014374, speedup: 1.3663531477139583
config 24: acc: 90.005943, speedup: 1.4569694803900681
config 25: acc: 90.014374, speedup: 1.51480379029619
config 26: acc: 90.014374, speedup: 1.4513978076504948
config 27: acc: 90.081955, speedup: 1.5396100576315301
config 28: acc: 90.081955, speedup: 1.5493266529668486
config 29: acc: 90.014374, speedup: 1.5657902511078285
config 30: acc: 90.081955, speedup: 1.571941021812083
config 31: acc: 90.081955, speedup: 1.5585156433780287
config 32: acc: 90.081955, speedup: 1.6170929427235088
config 33: acc: 90.005943, speedup: 1.541542269384526
config 34: acc: 90.014374, speedup: 1.556300724680236
config 35: acc: 90.157982, speedup: 1.5473455267344942
config 36: acc: 90.081955, speedup: 1.562086928330914
config 37: acc: 90.081955, speedup: 1.6309963780937757
config 38: acc: 90.081955, speedup: 1.5571168572104277
config 39: acc: 90.014374, speedup: 1.5659544797164844
config 40: acc: 90.014374, speedup: 1.554563865966455
config 41: acc: 90.081955, speedup: 1.675311580391376
config 42: acc: 90.081955, speedup: 1.6078289213240122
config 43: acc: 90.081955, speedup: 1.6021522440620584
config 44: acc: 90.005943, speedup: 1.7342394665288052
config 45: acc: 90.081955, speedup: 1.7573345225286758
config 46: acc: 90.157982, speedup: 1.7349859815149127
config 47: acc: 90.090401, speedup: 1.6926002628221606
config 48: acc: 90.014374, speedup: 1.749506525743182
config 49: acc: 90.081955, speedup: 1.7857184971555926
